	sector	community_name	group_category	category	count	resident_count	date	year
358	NORTHEAST	CORAL SPRINGS	Crime	Theft FROM Vehicle	5	5801	2019-11-01T00:00:00.000	2019
359	CENTRE	ST. ANDREWS HEIGHTS	Disorder	Social Disorder	19	1795	2019-11-01T00:00:00.000	2019
360	NORTHEAST	PEGASUS	Disorder	Social Disorder	2	0	2019-11-01T00:00:00.000	2019
361	CENTRE	DOWNTOWN COMMERCIAL CORE	Crime	Residential Break & Enter	1	8683	2019-11-01T00:00:00.000	2019
362	NORTHEAST	SUNRIDGE	Crime	Assault (Non-domestic)	4	11	2019-11-01T00:00:00.000	2019
363	SOUTH	ACADIA	Crime	Theft FROM Vehicle	13	10520	2019-11-01T00:00:00.000	2019
364	EAST	ALBERT PARK/RADISSON HEIGHTS	Crime	Theft OF Vehicle	10	6997	2019-11-01T00:00:00.000	2019
365	NORTHWEST	UNIVERSITY HEIGHTS	Crime	Assault (Non-domestic)	2	2921	2019-11-01T00:00:00.000	2019
366	CENTRE	INGLEWOOD	Disorder	Social Disorder	37	4024	2019-11-01T00:00:00.000	2019
367	CENTRE	BURNS INDUSTRIAL	Disorder	Social Disorder	2	0	2019-11-01T00:00:00.000	2019
368	SOUTH	OAKRIDGE	Disorder	Physical Disorder	3	5690	2019-11-01T00:00:00.000	2019
369	CENTRE	HIGHLAND PARK	Crime	Theft FROM Vehicle	7	3838	2019-11-01T00:00:00.000	2019
370	CENTRE	ELBOW PARK	Crime	Theft FROM Vehicle	4	3342	2019-11-01T00:00:00.000	2019
371	CENTRE	CRESCENT HEIGHTS	Crime	Theft FROM Vehicle	18	6620	2019-11-01T00:00:00.000	2019
372	WEST	ASPEN WOODS	Disorder	Physical Disorder	2	9446	2019-11-01T00:00:00.000	2019
373	SOUTH	FAIRVIEW INDUSTRIAL	Crime	Theft OF Vehicle	1	0	2019-11-01T00:00:00.000	2019
374	NORTHEAST	CASTLERIDGE	Crime	Commercial Break & Enter	2	6127	2019-11-01T00:00:00.000	2019
375	CENTRE	ERLTON	Crime	Theft FROM Vehicle	5	1270	2019-11-01T00:00:00.000	2019
376	NORTHEAST	MARLBOROUGH PARK	Crime	Violence Other (Non-domestic)	3	8523	2019-11-01T00:00:00.000	2019
377	SOUTH	LAKE BONAVISTA	Crime	Commercial Break & Enter	4	10293	2019-11-01T00:00:00.000	2019
378	SOUTH	FAIRVIEW	Crime	Theft FROM Vehicle	3	3646	2019-11-01T00:00:00.000	2019
379	NORTH	COUNTRY HILLS	Crime	Street Robbery	1	3767	2019-11-01T00:00:00.000	2019
380	CENTRE	MOUNT PLEASANT	Crime	Theft FROM Vehicle	3	5889	2019-11-01T00:00:00.000	2019
381	NORTHEAST	ABBEYDALE	Crime	Theft FROM Vehicle	1	5957	2019-11-01T00:00:00.000	2019
382	NORTHWEST	BRENTWOOD	Disorder	Physical Disorder	4	7267	2019-11-01T00:00:00.000	2019
383	NORTHEAST	CALGARY INTERNATIONAL AIRPORT	Crime	Residential Break & Enter	1	0	2019-11-01T00:00:00.000	2019
384	NORTH	NORTH HAVEN	Disorder	Physical Disorder	1	2359	2019-11-01T00:00:00.000	2019
385	SOUTHEAST	MCKENZIE TOWNE	Crime	Assault (Non-domestic)	1	18283	2019-11-01T00:00:00.000	2019
386	EAST	ALBERT PARK/RADISSON HEIGHTS	Crime	Commercial Robbery	1	6997	2019-11-01T00:00:00.000	2019
387	NORTHWEST	VARSITY	Disorder	Physical Disorder	1	12874	2019-11-01T00:00:00.000	2019
388	CENTRE	BANKVIEW	Disorder	Social Disorder	73	5256	2019-11-01T00:00:00.000	2019
389	CENTRE	RENFREW	Crime	Theft OF Vehicle	2	6582	2019-11-01T00:00:00.000	2019
390	EAST	FOREST LAWN	Crime	Theft FROM Vehicle	12	7814	2019-11-01T00:00:00.000	2019
391	NORTHWEST	CITADEL	Crime	Theft OF Vehicle	1	10077	2019-11-01T00:00:00.000	2019
392	NORTH	PANORAMA HILLS	Crime	Violence Other (Non-domestic)	1	25710	2019-11-01T00:00:00.000	2019
393	CENTRE	HILLHURST	Crime	Assault (Non-domestic)	3	6558	2019-11-01T00:00:00.000	2019
394	WEST	GLAMORGAN	Crime	Theft OF Vehicle	5	6522	2019-11-01T00:00:00.000	2019
395	SOUTHEAST	SHEPARD INDUSTRIAL	Crime	Commercial Break & Enter	4	255	2019-11-01T00:00:00.000	2019
396	SOUTHEAST	COPPERFIELD	Crime	Commercial Break & Enter	1	13823	2019-11-01T00:00:00.000	2019
397	NORTHEAST	CASTLERIDGE	Crime	Theft OF Vehicle	2	6127	2019-11-01T00:00:00.000	2019
398	CENTRE	DOWNTOWN EAST VILLAGE	Crime	Theft OF Vehicle	2	3893	2019-11-01T00:00:00.000	2019
399	NORTHWEST	ARBOUR LAKE	Disorder	Social Disorder	43	10619	2019-11-01T00:00:00.000	2019
400	SOUTH	KINGSLAND	Disorder	Social Disorder	89	4688	2019-11-01T00:00:00.000	2019
401	NORTHEAST	PINERIDGE	Crime	Violence Other (Non-domestic)	1	10022	2019-11-01T00:00:00.000	2019
402	CENTRE	PARKHILL	Crime	Commercial Break & Enter	1	1691	2019-11-01T00:00:00.000	2019
403	NORTHEAST	FALCONRIDGE	Crime	Residential Break & Enter	4	10653	2019-11-01T00:00:00.000	2019
404	SOUTH	BAYVIEW	Disorder	Social Disorder	1	751	2019-11-01T00:00:00.000	2019
405	SOUTHEAST	DOUGLASDALE/GLEN	Crime	Commercial Break & Enter	1	12881	2019-11-01T00:00:00.000	2019
406	NORTHEAST	SUNRIDGE	Disorder	Social Disorder	105	11	2019-11-01T00:00:00.000	2019
407	SOUTH	WILLOW PARK	Crime	Theft OF Vehicle	4	5328	2019-11-01T00:00:00.000	2019
408	SOUTHEAST	MAHOGANY	Disorder	Social Disorder	22	11784	2019-11-01T00:00:00.000	2019
409	CENTRE	HOUNSFIELD HEIGHTS/BRIAR HILL	Disorder	Social Disorder	39	2798	2019-11-01T00:00:00.000	2019
410	NORTHWEST	HAMPTONS	Disorder	Social Disorder	6	7382	2019-11-01T00:00:00.000	2019
411	SOUTHEAST	OGDEN	Crime	Residential Break & Enter	1	8576	2019-11-01T00:00:00.000	2019
412	SOUTH	QUEENSLAND	Crime	Theft OF Vehicle	1	4743	2019-11-01T00:00:00.000	2019
413	CENTRE	SUNALTA	Disorder	Social Disorder	51	3239	2019-11-01T00:00:00.000	2019
414	EAST	FOREST LAWN INDUSTRIAL	Disorder	Social Disorder	34	123	2019-11-01T00:00:00.000	2019
415	WEST	GLENBROOK	Crime	Violence Other (Non-domestic)	1	7442	2019-11-01T00:00:00.000	2019
416	CENTRE	TUXEDO PARK	Crime	Commercial Break & Enter	2	5326	2019-11-01T00:00:00.000	2019
417	CENTRE	SOUTH CALGARY	Crime	Assault (Non-domestic)	4	4442	2019-11-01T00:00:00.000	2019
418	SOUTH	SHAWNESSY	Crime	Residential Break & Enter	1	9368	2019-11-01T00:00:00.000	2019
419	SOUTH	MILLRISE	Crime	Theft FROM Vehicle	5	6900	2019-11-01T00:00:00.000	2019
420	SOUTH	MAPLE RIDGE	Disorder	Physical Disorder	2	1916	2019-11-01T00:00:00.000	2019
421	NORTH	THORNCLIFFE	Crime	Assault (Non-domestic)	1	8788	2019-11-01T00:00:00.000	2019
422	CENTRE	HIGHFIELD	Crime	Commercial Break & Enter	3	0	2019-11-01T00:00:00.000	2019
423	EAST	STARFIELD	Disorder	Social Disorder	4	0	2019-11-01T00:00:00.000	2019
424	NORTHEAST	WHITEHORN	Disorder	Physical Disorder	19	12019	2019-11-01T00:00:00.000	2019
425	SOUTH	WILLOW PARK	Disorder	Physical Disorder	2	5328	2019-11-01T00:00:00.000	2019
426	NORTHEAST	MAYLAND HEIGHTS	Disorder	Physical Disorder	1	5961	2019-11-01T00:00:00.000	2019
427	EAST	FOREST HEIGHTS	Crime	Theft OF Vehicle	5	6496	2019-11-01T00:00:00.000	2019
428	NORTH	PANORAMA HILLS	Disorder	Physical Disorder	4	25710	2019-11-01T00:00:00.000	2019
429	NORTHEAST	DEERFOOT BUSINESS CENTRE	Crime	Theft FROM Vehicle	1	0	2019-11-01T00:00:00.000	2019
430	NORTHEAST	SADDLE RIDGE INDUSTRIAL	Crime	Theft FROM Vehicle	1	25	2019-11-01T00:00:00.000	2019
431	SOUTHEAST	SETON	Crime	Theft OF Vehicle	2	1134	2019-11-01T00:00:00.000	2019
432	NORTH	COVENTRY HILLS	Crime	Theft OF Vehicle	4	17667	2019-11-01T00:00:00.000	2019
433	WEST	CHRISTIE PARK	Disorder	Social Disorder	2	2128	2019-11-01T00:00:00.000	2019
434	WEST	SPRINGBANK HILL	Crime	Assault (Non-domestic)	1	9943	2019-11-01T00:00:00.000	2019
435	CENTRE	GREENVIEW	Crime	Theft FROM Vehicle	2	1906	2019-11-01T00:00:00.000	2019
436	CENTRE	MEADOWLARK PARK	Crime	Theft FROM Vehicle	8	644	2019-11-01T00:00:00.000	2019
437	NORTHEAST	HORIZON	Crime	Theft FROM Vehicle	1	0	2019-11-01T00:00:00.000	2019
438	NORTHEAST	MARLBOROUGH	Disorder	Social Disorder	74	9162	2019-11-01T00:00:00.000	2019
439	SOUTHEAST	SOUTH FOOTHILLS	Disorder	Social Disorder	1	0	2019-11-01T00:00:00.000	2019
440	EAST	VALLEYFIELD	Disorder	Social Disorder	11	0	2019-11-01T00:00:00.000	2019
441	NORTHEAST	PINERIDGE	Disorder	Physical Disorder	9	10022	2019-11-01T00:00:00.000	2019
442	NORTHEAST	STONEY 2	Crime	Theft OF Vehicle	6	0	2019-11-01T00:00:00.000	2019
443	WEST	WESTGATE	Crime	Assault (Non-domestic)	2	3202	2019-11-01T00:00:00.000	2019
444	CENTRE	WEST HILLHURST	Crime	Residential Break & Enter	2	6447	2019-11-01T00:00:00.000	2019
445	SOUTH	DEER RIDGE	Disorder	Social Disorder	12	3973	2019-11-01T00:00:00.000	2019
446	WEST	LINCOLN PARK	Crime	Theft FROM Vehicle	1	2617	2019-11-01T00:00:00.000	2019
447	CENTRE	ROXBORO	Disorder	Physical Disorder	1	422	2019-11-01T00:00:00.000	2019
448	CENTRE	SHAGANAPPI	Disorder	Social Disorder	23	1626	2019-11-01T00:00:00.000	2019
449	SOUTH	BRIDLEWOOD	Crime	Theft OF Vehicle	2	12641	2019-11-01T00:00:00.000	2019
450	NORTH	KINCORA	Disorder	Physical Disorder	1	6889	2019-11-01T00:00:00.000	2019
451	CENTRE	ST. ANDREWS HEIGHTS	Disorder	Physical Disorder	3	1795	2019-11-01T00:00:00.000	2019
452	NORTHEAST	SKYVIEW RANCH	Crime	Assault (Non-domestic)	1	11707	2019-11-01T00:00:00.000	2019
453	WEST	SPRUCE CLIFF	Crime	Commercial Break & Enter	2	4673	2019-11-01T00:00:00.000	2019
